user_id,product_id,interaction
149905,44667,1
87067,41351,1
66742,9521,1
174368,42392,1
23797,46226,1
108921,30489,1
108921,5383,1
89338,7925,1
113872,43961,1
180376,30424,1
173441,12700,1
92884,15541,1
171724,21137,1
193679,6348,1
84958,23756,1
95148,5450,1
164226,34034,1
91219,33768,1
26903,6128,1
193524,47209,1
150827,18441,1
170027,27845,1
128082,47209,1
55254,30307,1
148097,34466,1
203634,29127,1
168902,44359,1
132390,536,1
88206,6901,1
59985,18479,1
12048,8670,1
68849,29529,1
81018,5876,1
62593,43192,1
83409,21927,1
59209,26246,1
126155,29223,1
59209,16797,1
137205,48364,1
164523,38777,1
193679,19744,1
105564,22963,1
193524,21616,1
90010,42265,1
9401,15902,1
203282,18523,1
125633,881,1
47698,30161,1
7644,49141,1
169481,9076,1
90314,36717,1
152676,43659,1
53986,8309,1
141093,4605,1
2205,20995,1
97859,4421,1
473,7751,1
128762,5334,1
72109,32428,1
133695,10749,1
78732,30391,1
58301,2735,1
13263,14992,1
157679,44303,1
93371,14467,1
15873,15290,1
176027,14732,1
20547,47209,1
90699,30910,1
203634,38662,1
83864,14182,1
184520,20114,1
172097,12392,1
206129,40396,1
180060,12232,1
160418,24117,1
116686,17461,1
195670,48015,1
27144,5380,1
159739,44337,1
156038,30391,1
65503,16797,1
2780,13380,1
202126,42768,1
186062,32689,1
3524,16290,1
12825,30745,1
120472,2663,1
139498,15290,1
83321,38288,1
97859,5240,1
70124,16516,1
97816,13176,1
118238,12817,1
179291,24838,1
49993,15258,1
155346,14979,1
179639,40706,1
137747,32443,1
273,21137,1
164226,24964,1
54156,2002,1
18740,32638,1
101908,12955,1
33592,44303,1
6450,44781,1
19744,17604,1
80830,28378,1
193837,11826,1
80376,20955,1
17780,49416,1
13390,44683,1
147178,46842,1
149346,21376,1
172226,24613,1
1894,14947,1
84966,40199,1
20066,23579,1
59209,12332,1
204660,47766,1
54017,4799,1
69824,26063,1
47282,17872,1
97991,10644,1
78664,17694,1
27144,24184,1
146837,35887,1
43268,29820,1
201120,4799,1
95301,24561,1
191007,27966,1
131936,47630,1
22085,29675,1
94495,16235,1
5912,16396,1
47397,26209,1
124159,36180,1
79977,43483,1
62971,48377,1
161533,8021,1
177588,43352,1
187920,8516,1
